"","country","cases","deaths","geoId","iso3c","date","date2","pop","miss","total.pop","cum.cases","cum.deaths","total.cases","total.deaths","total.cum.cases","total.cum.deaths","cases.pc","deaths.pc","cum.cases.pc","cum.deaths.pc","X","schools","events","lockdown","emergency_powers","emergency_state","emerg","emerg.state","school.d","events.d","lockdown.d","emerg.d","emerg.state.d","remove.school","remove.events","remove.lockdown","remove.emerg","remove.emerg.state","CC.EST","GE.EST","PV.EST","RL.EST","RQ.EST","free","rai","country_code","country_id","cabinet_id","n_parties","caretaker","minority","gov_start_date","pm_party_en","pm_party_local","pm_party_lr","pm_party_lr_econ","pm_party_galtan","pm_party_family","party_id","hm_party_en","hm_party_loc","hm_party_family","party_id_health","hm_min_name","hm_min_type","hm_medic","federalism","sgi_experts","mindate.p","schools.p","events.p","lockdown.p","notes"
"62","Austria",205,0,"AT","AUT",2020-03-16,18337,8847037,FALSE,534379900,860,1,9434,591,53964,2329,23,0,97,0,1,2020-03-12,2020-03-11,2020-03-16,NA,NA,NA,NA,1,1,1,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,1.596262,1.453342,0.9175232,1.875834,1.544717,93,23,40,59,1609,2,0,0,"07-01-2020","Austrian People's Party","Österreichische Volkspartei",6.1,6.4,7.2,"Christian democracy",1013,"Greens","Die Grüne","Green Ecologist",1429,"Social Affairs, Health, Care, and Consumer Protection","shared",0,1,4,2020-01-01,2020-03-12,2020-03-11,2020-03-16,NA
"149","Belgium",199,1,"BE","BEL",2020-03-17,18338,11422068,FALSE,534379900,1085,5,9327,425,63291,2754,17,0,95,0,2,2020-03-12,2020-03-12,2020-03-17,"3/15/2020",NA,2020-03-15,NA,1,1,1,1,0,TRUE,TRUE,FALSE,TRUE,FALSE,1.510279,1.171748,0.412356,1.3679,1.233861,96,34.9,56,64,1622,3,1,1,"27-10-2019","Reformist Movement","Mouvement Réformateur",7,7.6,3,"Liberal",915,"Flemish Liberals and Democrats","Vlaamse Liberalen en Democraten  Open VLD","Liberal",1110,"Asylum, Migration, Health, and Social Affairs","shared",1,1,6,2020-01-01,2020-03-14,2020-03-14,2020-03-18,NA
"231","Bulgaria",16,0,"BG","BGR",2020-03-13,18334,7024216,FALSE,534379900,23,1,6403,248,29147,1195,2,0,3,0,3,2020-03-13,2020-03-13,2020-03-13,"3/13/2020","3/13/2020",2020-03-13,2020-03-13,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,-0.1515335,0.2718757,0.4196386,-0.029567,0.5765803,80,2,100,10,1505,2,0,0,"04-05-2017","Citizens for European Development of Bulgaria","Grazhdani za Evropeysko Razvitie na Balgariya",6.5,7,5.117647,"Conservative",1541,"Citizens for European Development of Bulgaria","Grazhdani za Evropeysko Razvitie na Balgariya","Conservative",1541,"Health","single",0,0,5,2020-01-01,2020-03-05,2020-03-13,2020-03-13,NA
"321","Croatia",8,0,"HR","HRV",2020-03-17,18338,4089400,FALSE,534379900,56,0,9327,425,63291,2754,2,0,14,0,4,2020-03-13,2020-03-18,2020-03-17,NA,NA,NA,NA,1,0,1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,0.1316391,0.4569183,0.7688776,0.324786,0.4473468,85,9,191,62,1512,2,0,1,"09-07-2017","Croatian Democratic Union","Hrvatska demokratska zajednica",7.333334,5.333334,8.25,"Christian democracy",276,"Croatian Democratic Union","Hrvatska demokratska zajednica","Christian democracy",276,"Health","single",1,0,4,2020-01-01,2020-03-13,2020-03-18,2020-03-17,NA
"414","Cyprus",21,0,"CY","CYP",2020-03-24,18345,1189265,FALSE,534379900,116,0,23281,1434,190439,10115,18,0,98,0,5,2020-03-13,2020-03-10,2020-03-24,"3/15/2020","3/15/2020",2020-03-15,2020-03-15,1,1,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,0.6399662,0.9209022,0.543319,0.7534632,1.017323,94,0,196,51,1492,2,0,1,"22-05-2016","Democratic Rally","Dimokratikós Sinayermós",7.5,8.5,6,"Conservative",1575,"Independent","independent",NA,NA,"Health","single",0,0,3,2020-03-10,2020-03-13,2020-03-10,2020-03-24,NA
"492","Czech_Republic",84,0,"CZ","CZE",2020-03-16,18337,10650000,FALSE,534379900,298,0,9434,591,53964,2329,8,0,28,0,6,2020-03-10,2020-03-10,2020-03-16,"3/12/2020","3/12/2020",2020-03-12,2020-03-12,1,1,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,0.5037321,0.9222081,1.040143,1.04966,1.261501,91,12.3,203,68,1534,2,0,1,"27-06-2018","Action of Dissatisfied Citizens","Akce nespokojených obcanu",4.923077,5.846154,5.142857,"Liberal",2263,"Action of Dissatisfied Citizens","Akce nespokojených obcanu","Liberal",2263,"Health","single",0,0,6,2020-01-01,2020-03-11,2020-03-11,2020-03-16,NA
"575","Denmark",160,0,"DK","DNK",2020-03-13,18334,5797446,FALSE,534379900,676,0,6403,248,29147,1195,28,0,117,0,7,2020-03-11,2020-03-09,2020-03-13,"3/18/2020",NA,2020-03-18,NA,1,1,1,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,2.147795,1.871631,0.9590668,1.833378,1.67705,97,7.3,208,21,1598,1,0,1,"27-06-2019","Social Democrats","Socialdemokraterne",4.4,3.9,5.2,"Social democracy",1629,"Social Democrats","Socialdemokraterne","Social democracy",1629,"Health and Elderly Affairs","shared",0,0,8,2020-01-01,2020-03-13,2020-03-09,2020-03-13,NA
"688","Estonia",36,3,"EE","EST",2020-04-09,18361,1320884,FALSE,534379900,1185,24,31588,3746,688409,60212,27,2,897,18,8,2020-03-16,2020-03-13,NA,"3/12/2020","3/12/2020",2020-03-12,2020-03-12,1,1,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,1.506318,1.191938,0.5999668,1.240627,1.562708,94,0,233,75,1595,3,0,0,"29-04-2019","Estonian Centre Party","Eesti Keskerakond",3.8,3.133333,5.133333,"Social democracy",1137,"Estonian Centre Party","Eesti Keskerakond","Social democracy",1137,"Social Affairs","subsumed",0,0,7,2020-01-01,2020-03-16,2020-03-13,NA,"Health care is under portfolio of Ministry of Social Affairs"
"774","Finland",179,6,"FI","FIN",2020-04-09,18361,5518050,FALSE,534379900,2487,40,31588,3746,688409,60212,32,1,451,7,9,2020-03-16,2020-03-16,NA,"3/16/2020","3/16/2020",2020-03-16,2020-03-16,1,1,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,2.21243,1.984208,0.9249202,2.046279,1.786545,100,7,246,67,1607,5,0,0,"10-12-2019","Social Democratic Party of Finland","Suomen Sosialidemokraattinen Puolue – Finlands Socialdemokratiska Parti",4,3.444444,3.222222,"Social democracy",395,"Democratic Union - Left Alliance","Demokraattinen Liitto – Demokratiska Förbundet | Vasemmistoliitto – Vänsterförbundet","Communist Socialist",1292,"Social Affairs and Health","shared",0,1,7,2020-01-01,2020-03-18,2020-03-18,NA,NA
"837","France",1210,21,"FR","FRA",2020-03-17,18338,66987244,FALSE,534379900,6633,148,9327,425,63291,2754,18,0,99,2,10,2020-03-14,2020-02-29,2020-03-17,"3/22/2020",NA,2020-03-22,NA,1,1,1,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,1.316893,1.480526,0.1091348,1.440087,1.173062,90,22.2,250,43,1509,4,0,0,"21-06-2017","Union for a Popular Movement - The Republicans","Union pour un mouvement populaire - Les Républicains",7.666667,7.333334,7.166667,"Conservative",658,"The Republic Onwards!","La République en Marche!","Liberal",2643,"Solidarity and Health","shared",1,0,4,2020-01-01,2020-03-16,2020-02-29,2020-03-17,NA
