"","country","cases","deaths","geoId","iso3c","date","date2","pop","miss","total.pop","cum.cases","cum.deaths","total.cases","total.deaths","total.cum.cases","total.cum.deaths","cases.pc","deaths.pc","cum.cases.pc","cum.deaths.pc","X","schools","events","lockdown","emergency_powers","emergency_state","emerg","emerg.state","school.d","events.d","lockdown.d","emerg.d","emerg.state.d","remove.school","remove.events","remove.lockdown","remove.emerg","remove.emerg.state","CC.EST","GE.EST","PV.EST","RL.EST","RQ.EST","free","rai","country_code","country_id","cabinet_id","n_parties","caretaker","minority","gov_start_date","pm_party_en","pm_party_local","pm_party_lr","pm_party_lr_econ","pm_party_galtan","pm_party_family","party_id","hm_party_en","hm_party_loc","hm_party_family","party_id_health","hm_min_name","hm_min_type","hm_medic","federalism","sgi_experts","mindate.p","schools.p","events.p","lockdown.p","notes","first.case.date","duration","growth.cases.daily","censored","surv"
"1","Austria",  64, 0,"AT","AUT",2020-03-12,18333, 8847037,FALSE,534379900, 246,  0, 4825, 233, 22744,  947, 7,0, 28, 0, 1,2020-03-12,2020-03-11,2020-03-16,NA,NA,NA,NA,1,1,0,0,0,FALSE, TRUE,FALSE,FALSE,FALSE, 1.5962620, 1.4533420,0.9175232, 1.8758340,1.5447170, 93,23.0, 40,59,1609,2,0,0,"07-01-2020","Austrian People's Party","Österreichische Volkspartei",6.100000,6.400000,7.200000,"Christian democracy",1013,"Greens","Die Grüne","Green Ecologist",1429,"Social Affairs, Health, Care, and Consumer Protection","shared",0,1,4,2020-01-01,2020-03-12,2020-03-11,2020-03-16,NA,2020-02-26,15, 16.4000000,0,15 
"2","Belgium",  47, 3,"BE","BEL",2020-03-12,18333,11422068,FALSE,534379900, 314,  3, 4825, 233, 22744,  947, 4,0, 27, 0, 2,2020-03-12,2020-03-12,2020-03-17,"3/15/2020",NA,2020-03-15,NA,1,1,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE, 1.5102790, 1.1717480,0.4123560, 1.3679000,1.2338610, 96,34.9, 56,64,1622,3,1,1,"27-10-2019","Reformist Movement","Mouvement Réformateur",7.000000,7.600000,3.000000,"Liberal", 915,"Flemish Liberals and Democrats","Vlaamse Liberalen en Democraten  Open VLD","Liberal",1110,"Asylum, Migration, Health, and Social Affairs","shared",1,1,6,2020-01-01,2020-03-14,2020-03-14,2020-03-18,NA,2020-02-04,37,  8.4864865,0,37 
"3","Bulgaria",  16, 0,"BG","BGR",2020-03-13,18334, 7024216,FALSE,534379900,  23,  1, 6403, 248, 29147, 1195, 2,0,  3, 0, 3,2020-03-13,2020-03-13,2020-03-13,"3/13/2020","3/13/2020",2020-03-13,2020-03-13,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,-0.1515335, 0.2718757,0.4196386,-0.0295670,0.5765803, 80, 2.0,100,10,1505,2,0,0,"04-05-2017","Citizens for European Development of Bulgaria","Grazhdani za Evropeysko Razvitie na Balgariya",6.500000,7.000000,5.117647,"Conservative",1541,"Citizens for European Development of Bulgaria","Grazhdani za Evropeysko Razvitie na Balgariya","Conservative",1541,"Health","single",0,0,5,2020-01-01,2020-03-05,2020-03-13,2020-03-13,NA,2020-03-08, 5,  4.6000000,0, 5 
"4","Croatia",   9, 0,"HR","HRV",2020-03-13,18334, 4089400,FALSE,534379900,  25,  0, 6403, 248, 29147, 1195, 2,0,  6, 0, 4,2020-03-13,2020-03-18,2020-03-17,NA,NA,NA,NA,1,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE, 0.1316391, 0.4569183,0.7688776, 0.3247860,0.4473468, 85, 9.0,191,62,1512,2,0,1,"09-07-2017","Croatian Democratic Union","Hrvatska demokratska zajednica",7.333334,5.333334,8.250000,"Christian democracy", 276,"Croatian Democratic Union","Hrvatska demokratska zajednica","Christian democracy", 276,"Health","single",1,0,4,2020-01-01,2020-03-13,2020-03-18,2020-03-17,NA,2020-02-26,16,  1.5625000,0,16 
"5","Cyprus",   0, 0,"CY","CYP",2020-03-13,18334, 1189265, TRUE,534379900,   6,  0, 6403, 248, 29147, 1195, 0,0,  5, 0, 5,2020-03-13,2020-03-10,2020-03-24,"3/15/2020","3/15/2020",2020-03-15,2020-03-15,1,1,0,0,0,FALSE, TRUE,FALSE,FALSE,FALSE, 0.6399662, 0.9209022,0.5433190, 0.7534632,1.0173230, 94, 0.0,196,51,1492,2,0,1,"22-05-2016","Democratic Rally","Dimokratikós Sinayermós",7.500000,8.500000,6.000000,"Conservative",1575,"Independent","independent",NA,NA,"Health","single",0,0,3,2020-03-10,2020-03-13,2020-03-10,2020-03-24,NA,2020-03-10, 3,  2.0000000,0, 3 
"6","Czech_Republic",   8, 0,"CZ","CZE",2020-03-10,18331,10650000,FALSE,534379900,  40,  0, 3355, 136, 15263,  534, 1,0,  4, 0, 6,2020-03-10,2020-03-10,2020-03-16,"3/12/2020","3/12/2020",2020-03-12,2020-03-12,1,1,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE, 0.5037321, 0.9222081,1.0401430, 1.0496600,1.2615010, 91,12.3,203,68,1534,2,0,1,"27-06-2018","Action of Dissatisfied Citizens","Akce nespokojených obcanu",4.923077,5.846154,5.142857,"Liberal",2263,"Action of Dissatisfied Citizens","Akce nespokojených obcanu","Liberal",2263,"Health","single",0,0,6,2020-01-01,2020-03-11,2020-03-11,2020-03-16,NA,2020-03-02, 8,  5.0000000,0, 8 
"7","Denmark", 151, 0,"DK","DNK",2020-03-11,18332, 5797446,FALSE,534379900, 264,  0, 2656, 180, 17919,  714,26,0, 46, 0, 7,2020-03-11,2020-03-09,2020-03-13,"3/18/2020",NA,2020-03-18,NA,1,1,0,0,0,FALSE, TRUE,FALSE,FALSE,FALSE, 2.1477950, 1.8716310,0.9590668, 1.8333780,1.6770500, 97, 7.3,208,21,1598,1,0,1,"27-06-2019","Social Democrats","Socialdemokraterne",4.400000,3.900000,5.200000,"Social democracy",1629,"Social Democrats","Socialdemokraterne","Social democracy",1629,"Health and Elderly Affairs","shared",0,0,8,2020-01-01,2020-03-13,2020-03-09,2020-03-13,NA,2020-02-27,13, 20.3076923,0,13 
"8","Estonia",  56, 0,"EE","EST",2020-03-16,18337, 1320884,FALSE,534379900, 171,  0, 9434, 591, 53964, 2329,42,0,129, 0, 8,2020-03-16,2020-03-13,NA,"3/12/2020","3/12/2020",2020-03-12,2020-03-12,1,1,0,1,1,FALSE, TRUE,FALSE, TRUE, TRUE, 1.5063180, 1.1919380,0.5999668, 1.2406270,1.5627080, 94, 0.0,233,75,1595,3,0,0,"29-04-2019","Estonian Centre Party","Eesti Keskerakond",3.800000,3.133333,5.133333,"Social democracy",1137,"Estonian Centre Party","Eesti Keskerakond","Social democracy",1137,"Social Affairs","subsumed",0,0,7,2020-01-01,2020-03-16,2020-03-13,NA,"Health care is under portfolio of Ministry of Social Affairs",2020-02-28,17, 10.0588235,0,17 
"9","Finland",  57, 0,"FI","FIN",2020-03-16,18337, 5518050,FALSE,534379900, 267,  0, 9434, 591, 53964, 2329,10,0, 48, 0, 9,2020-03-16,2020-03-16,NA,"3/16/2020","3/16/2020",2020-03-16,2020-03-16,1,1,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE, 2.2124300, 1.9842080,0.9249202, 2.0462790,1.7865450,100, 7.0,246,67,1607,5,0,0,"10-12-2019","Social Democratic Party of Finland","Suomen Sosialidemokraattinen Puolue – Finlands Socialdemokratiska Parti",4.000000,3.444444,3.222222,"Social democracy", 395,"Democratic Union - Left Alliance","Demokraattinen Liitto – Demokratiska Förbundet | Vasemmistoliitto – Vänsterförbundet","Communist Socialist",1292,"Social Affairs and Health","shared",0,1,7,2020-01-01,2020-03-18,2020-03-18,NA,NA,2020-01-30,46,  5.8043478,0,46 
"10","France", 785,18,"FR","FRA",2020-03-14,18335,66987244,FALSE,534379900,3661, 79, 6760, 312, 35907, 1507,12,0, 55, 1,10,2020-03-14,2020-02-29,2020-03-17,"3/22/2020",NA,2020-03-22,NA,1,1,0,0,0,FALSE, TRUE,FALSE,FALSE,FALSE, 1.3168930, 1.4805260,0.1091348, 1.4400870,1.1730620, 90,22.2,250,43,1509,4,0,0,"21-06-2017","Union for a Popular Movement - The Republicans","Union pour un mouvement populaire - Les Républicains",7.666667,7.333334,7.166667,"Conservative", 658,"The Republic Onwards!","La République en Marche!","Liberal",2643,"Solidarity and Health","shared",1,0,4,2020-01-01,2020-03-16,2020-02-29,2020-03-17,NA,2020-01-25,49, 74.7142857,0,49 
